#pos		freq		
0		238
1		254
2		250
3		243
4		217
5		258
6		245
7		272
8		248
9		260
10		250
11		258
12		240
13		259
14		248
15		237
16		266
17		238
18		271
19		256
20		264
21		254
22		272
23		255
24		270
25		263
26		270
27		257
28		281
29		292
30		257
31		262
32		272
33		272
34		265
35		297
36		245
37		288
38		261
39		276
40		275
41		290
42		277
43		282
44		257
45		299
46		283
47		276
48		261
49		282
50		264
51		284
52		293
53		279
54		285
55		279
56		270
57		267
58		264
59		274
60		262
61		266
62		266
63		291
64		286
65		260
66		297
67		303
68		299
69		299
70		264
71		295
72		283
73		266
74		284
75		277
76		258
77		278
78		285
79		265
80		254
81		255
82		305
83		301
84		281
85		281
86		248
87		263
88		262
89		269
90		269
91		273
92		275
93		286
94		283
95		283
96		287
97		276
98		299
99		263
100		307
101		309
102		285
103		286
104		295
105		267
106		284
107		264
108		272
109		281
110		305
111		272
112		283
113		318
114		271
115		296
116		275
117		304
118		341
119		321
120		275
121		312
122		304
123		285
124		342
125		325
126		283
127		310
128		332
129		304
130		335
131		327
132		305
133		315
134		312
135		308
136		324
137		324
138		301
139		311
140		299
141		311
142		329
143		338
144		289
145		281
146		365
147		501
148		327
149		363
150		770
151		0
152		2
153		239
154		228
155		237
156		275
157		254
158		289
159		282
160		289
161		278
162		292
163		317
164		276
165		287
166		255
167		268
168		274
169		283
170		241
171		271
172		283
173		273
174		270
175		275
176		240
177		278
178		282
179		246
180		258
181		251
182		247
183		265
184		253
185		244
186		265
187		282
188		227
189		265
190		281
191		244
192		264
193		254
194		213
195		277
196		260
197		227
198		256
199		272
