#pos		freq		
0		133
1		131
2		133
3		145
4		158
5		135
6		154
7		142
8		136
9		142
10		142
11		149
12		160
13		120
14		137
15		141
16		145
17		164
18		135
19		135
20		138
21		136
22		137
23		150
24		138
25		126
26		146
27		130
28		148
29		154
30		132
31		147
32		148
33		138
34		135
35		126
36		154
37		146
38		136
39		145
40		144
41		131
42		131
43		133
44		131
45		141
46		148
47		120
48		152
49		147
50		165
51		141
52		145
53		132
54		132
55		152
56		134
57		150
58		158
59		128
60		147
61		147
62		139
63		138
64		135
65		143
66		136
67		132
68		145
69		138
70		147
71		140
72		150
73		146
74		131
75		118
76		137
77		124
78		142
79		147
80		134
81		142
82		139
83		130
84		150
85		159
86		136
87		138
88		145
89		139
90		134
91		150
92		151
93		131
94		133
95		139
96		127
97		161
98		130
99		153
100		140
101		139
102		165
103		129
104		115
105		132
106		130
107		140
108		140
109		145
110		125
111		146
112		128
113		141
114		150
115		148
116		138
117		140
118		116
119		128
120		150
121		126
122		133
123		142
124		128
125		137
126		153
127		114
128		127
129		137
130		106
131		125
132		134
133		131
134		128
135		128
136		125
137		128
138		124
139		124
140		129
141		98
142		119
143		120
144		151
145		122
146		135
147		138
148		102
149		125
150		23
151		12
152		773
153		245
154		122
155		123
156		225
157		136
158		120
159		213
160		102
161		124
162		192
163		107
164		140
165		194
166		145
167		158
168		187
169		108
170		139
171		188
172		128
173		164
174		209
175		129
176		154
177		197
178		104
179		159
180		213
181		125
182		134
183		207
184		110
185		151
186		220
187		118
188		148
189		206
190		109
191		144
192		215
193		138
194		170
195		221
196		131
197		146
198		237
199		130
